post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 15:58:21,0.047619047619047616,False
47733222,Show HN: Bitcoin and Quantum Computing – a three-part research series,science,6,1,nvk,2026-04-14 16:00:47,0.14285714285714285,False
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,150,38,cvrajeesh,2026-04-14 16:01:20,0.25165562913907286,False
47715256,Tool to explore regularly sampled time series,entertainment,16,0,rsva,2026-04-14 16:01:25,0.0,False
47757552,Show HN: Continual Learning with .md,entertainment,26,23,wenhan_zhou,2026-04-14 16:01:48,0.8518518518518519,False
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,507,288,a-ve,2026-04-14 16:01:52,0.5669291338582677,True
47724352,Filing the corners off my MacBooks,entertainment,1396,669,normanvalentine,2026-04-14 16:01:57,0.47888332140300643,True
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,31,2,joe_mamba,2026-04-14 16:02:06,0.0625,False
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,53,0,mooreds,2026-04-14 16:02:07,0.0,False
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,100,Rochus,2026-04-14 16:02:12,0.4149377593360996,True
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,entertainment,5,0,ekns,2026-04-14 16:02:48,0.0,False
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 16:03:08,0.18421052631578946,False
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 16:03:15,0.23717948717948717,False
47758287,Dear Master (an open letter from an early Facebook employee),entertainment,13,1,plonkus,2026-04-14 16:03:20,0.07142857142857142,False
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 16:03:36,0.5,False
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,90,39,chrisecker,2026-04-14 16:03:38,0.42857142857142855,False
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,168,randerson_112,2026-04-14 16:03:42,0.9491525423728814,True
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-14 16:03:49,0.5102040816326531,False
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,zachdive,2026-04-14 16:03:51,0.5416666666666666,False
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-14 16:03:58,0.22580645161290322,False
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,40,20,olleeolleeollee,2026-04-14 16:04:01,0.4878048780487805,False
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-14 16:04:31,0.515625,False
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-14 16:04:38,0.2857142857142857,False
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-14 16:04:53,1.0675675675675675,False
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-14 16:05:03,0.19047619047619047,False
47696562,Show HN: Is Hormuz open yet?,entertainment,482,209,anonfunction,2026-04-14 16:05:08,0.432712215320911,True
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,33,3,larry-the-agent,2026-04-14 16:05:11,0.08823529411764706,False
47750669,Android now stops you sharing your location in photos,technology,373,298,edent,2026-04-14 16:05:14,0.7967914438502673,True
47729350,I just want simple S3,technology,185,95,g0xA52A2A,2026-04-14 16:05:14,0.510752688172043,True
47753689,Building a CLI for all of Cloudflare,technology,311,101,soheilpro,2026-04-14 16:05:16,0.32371794871794873,True
